Postal Code,Project Name,District,Number of Units,Indicative Price Range,Tenure,# Records,# Profitable sales,# Unprofitable sales
"['436918, 436919, 436920, 436921, 436895']",PEBBLE BAY,D15,510,"1,674",99 Yrs From 09/03/1994,89,79,1
"['436606, 436607, 436608, 436931, 436932']",WATER PLACE,D15,437,"1,555",99 Yrs From 02/03/1998,91,87,4
['436914'],TANJONG RIA CONDOMINIUM,D15,168,"1,364",99 Yrs From 31/05/1993,289,82,9
"['448906, 448907, 448908, 44... Show more']",MANDARIN GARDENS,D15,Unknown,"1,238","99 Yrs From 08/03/1982, 99 Yrs From 08/03/198",111,77,6
"['428096, 428099, 428100, 428... Show more']",LEGENDA AT JOO CHIAT,D15,100,"1,270",99 Yrs From 04/06/2001,213,60,4
"['439893, 439894, 439895, 439897']",THE SHORE RESIDENCES,D15,408,"1,765",103 Yrs From 18/08/2009,591,155,4
"['436904, 436915, 436916']",CASUARINA COVE,D15,160,"1,430",99 Yrs From 20/10/1993,229,60,7
['436593'],RIVEREDGE,D15,135,"1,596",99 Yrs From 26/02/2004,295,92,2
"['449297, 449298, 449299, 44... Show more']",COTE D'AZUR,D15,612,"1,581",99 Yrs From 25/07/2001,102,97,2
"['449305, 449306, 449307, 449308']",SILVERSEA,D15,383,"1,949",99 Yrs From 20/07/2007,515,106,35
"['437431, 437433, 437434, 437435, 437436']",COSTA RHU,D15,737,"1,432","99 Yrs From 30/05/1994, 99 Yrs From 30/05/199",141,117,2
"['438797, 438798']",DUNMAN VIEW,D15,148,"1,290",99 Yrs From 24/10/1997,278,83,6
"['436928, 436929, 436930']",CAMELOT BY-THE-WATER,D15,99,"1,736",99 Yrs From 07/06/1996,175,47,4
"['438797, 438798']",DUNMAN VIEW,D15,148,"1,290",99 Yrs From 24/10/1997,278,83,6
['439826'],KATONG PARK TOWERS,D15,116,999,99 Yrs From 05/04/1982,207,51,12
